task_id,box_id,delivery_offset_s,deadline_s
R000001,B014,849.4,inf
R000002,B011,849.4,inf
R000003,B011,909.4,inf
R000003,B012,909.4,inf
R000004,B003,849.4,3600.0
R000005,B003,909.4,3600.0
R000005,B011,909.4,inf
R000006,B001,849.4,3600.0
R000007,B001,909.4,3600.0
R000007,B014,909.4,inf
R000008,B001,909.4,3600.0
R000008,B011,909.4,inf
R000009,B001,909.4,3600.0
R000009,B003,909.4,3600.0
R000010,B001,909.4,3600.0
R000010,B002,909.4,inf
R000011,B001,969.4,3600.0
R000011,B002,969.4,inf
R000011,B014,969.4,inf
R000012,B001,969.4,3600.0
R000012,B002,969.4,inf
R000012,B011,969.4,inf
R000013,B001,969.4,3600.0
R000013,B002,969.4,inf
R000013,B003,969.4,3600.0
R000014,B023,1225.8,inf
R000015,B021,1225.8,inf
R000016,B021,1285.8,inf
R000016,B022,1285.8,inf
R000017,B017,1225.8,3600.0
R000018,B017,1285.8,3600.0
R000018,B021,1285.8,inf
R000019,B016,1225.8,3600.0
R000020,B016,1285.8,3600.0
R000020,B023,1285.8,inf
R000021,B016,1285.8,3600.0
R000021,B021,1285.8,inf
R000022,B016,1285.8,3600.0
R000022,B017,1285.8,3600.0
R000023,B031,1349.1,inf
R000024,B029,1349.1,inf
R000025,B029,1409.1,inf
R000025,B030,1409.1,inf
R000026,B025,1349.1,7200.0
R000027,B025,1409.1,7200.0
R000027,B029,1409.1,inf
R000028,B024,1349.1,7200.0
R000029,B024,1409.1,7200.0
R000029,B031,1409.1,inf
R000030,B024,1409.1,7200.0
R000030,B029,1409.1,inf
R000031,B024,1409.1,7200.0
R000031,B025,1409.1,7200.0
R000032,B037,1313.6,inf
R000033,B036,1313.6,inf
R000034,B033,1313.6,7200.0
R000035,B033,1373.6,7200.0
R000035,B036,1373.6,inf
R000036,B032,1313.6,7200.0
R000037,B032,1373.6,7200.0
R000037,B037,1373.6,inf
R000038,B032,1373.6,7200.0
R000038,B036,1373.6,inf
R000039,B032,1373.6,7200.0
R000039,B033,1373.6,7200.0
R000040,B043,1070.6,inf
R000041,B042,1070.6,inf
R000042,B039,1070.6,10800.0
R000043,B039,1130.6,10800.0
R000043,B042,1130.6,inf
R000044,B038,1070.6,10800.0
R000045,B038,1130.6,10800.0
R000045,B043,1130.6,inf
R000046,B038,1130.6,10800.0
R000046,B042,1130.6,inf
R000047,B038,1130.6,10800.0
R000047,B039,1130.6,10800.0
R000048,B049,875.1,inf
R000049,B048,875.1,inf
R000050,B045,875.1,3600.0
R000051,B045,935.1,3600.0
R000051,B048,935.1,inf
R000052,B044,875.1,3600.0
R000053,B044,935.1,3600.0
R000053,B049,935.1,inf
R000054,B044,935.1,3600.0
R000054,B048,935.1,inf
R000055,B044,935.1,3600.0
R000055,B045,935.1,3600.0
R000056,B054,1081.3,inf
R000057,B053,1081.3,inf
R000058,B051,1081.3,3600.0
R000059,B051,1141.3,3600.0
R000059,B053,1141.3,inf
R000060,B050,1081.3,3600.0
R000061,B050,1141.3,3600.0
R000061,B054,1141.3,inf
R000062,B050,1141.3,3600.0
R000062,B053,1141.3,inf
R000063,B050,1141.3,3600.0
R000063,B051,1141.3,3600.0
R000064,B059,1308.3,inf
R000065,B058,1308.3,inf
R000066,B056,1308.3,7200.0
R000067,B056,1368.3,7200.0
R000067,B058,1368.3,inf
R000068,B055,1308.3,7200.0
R000069,B055,1368.3,7200.0
R000069,B059,1368.3,inf
R000070,B055,1368.3,7200.0
R000070,B058,1368.3,inf
R000071,B055,1368.3,7200.0
R000071,B056,1368.3,7200.0
R000072,B062,1067.4,inf
R000073,B061,1067.4,10800.0
R000074,B061,1127.4,10800.0
R000074,B062,1127.4,inf
R000075,B060,1067.4,10800.0
R000076,B060,1127.4,10800.0
R000076,B062,1127.4,inf
R000077,B060,1127.4,10800.0
R000077,B061,1127.4,10800.0
R000078,B065,1044.5,inf
R000079,B064,1044.5,3600.0
R000080,B064,1104.5,3600.0
R000080,B065,1104.5,inf
R000081,B063,1044.5,3600.0
R000082,B063,1104.5,3600.0
R000082,B065,1104.5,inf
R000083,B063,1104.5,3600.0
R000083,B064,1104.5,3600.0
R000084,B068,834.0,inf
R000085,B067,834.0,10800.0
R000086,B067,894.0,10800.0
R000086,B068,894.0,inf
R000087,B066,834.0,10800.0
R000088,B066,894.0,10800.0
R000088,B068,894.0,inf
R000089,B066,894.0,10800.0
R000089,B067,894.0,10800.0
R000090,B071,1275.1,inf
R000091,B070,1275.1,3600.0
R000092,B070,1335.1,3600.0
R000092,B071,1335.1,inf
R000093,B069,1275.1,3600.0
R000094,B069,1335.1,3600.0
R000094,B071,1335.1,inf
R000095,B069,1335.1,3600.0
R000095,B070,1335.1,3600.0
R000096,B074,1023.5,inf
R000097,B073,1023.5,3600.0
