task_id,uav_type,n_stops,visit_order,duration_s,energy_kWh,latest_start_s,direct_time_s,outage_time_s,outage_ratio,gap_count,max_gap_s,min_margin_db,needs_relay
R000001,A,1,S001,1192.470877312685,1.1815093765129427,,1192.470877312685,0.0,0.0,0,0.0,2.2144147110676613,0
R000002,A,1,S001,1192.470877312685,1.190044044633542,,1192.470877312685,0.0,0.0,0,0.0,2.2144147110676613,0
R000003,A,1,S001,1252.470877312685,1.236638256625778,,1252.470877312685,0.0,0.0,0,0.0,2.2144147110676613,0
R000004,A,1,S001,1192.470877312685,1.22307515767693,2750.6,1192.470877312685,0.0,0.0,0,0.0,2.2144147110676613,0
R000005,A,1,S001,1252.470877312685,1.2860758210865872,2690.6,1252.470877312685,0.0,0.0,0,0.0,2.2144147110676613,0
R000006,A,1,S001,1192.470877312685,1.1712029791239238,2750.6,1192.470877312685,0.0,0.0,0,0.0,2.2144147110676613,0
R000007,A,1,S001,1252.470877312685,1.1947775744571931,2690.6,1252.470877312685,0.0,0.0,0,0.0,2.2144147110676613,0
R000008,A,1,S001,1252.470877312685,1.2051640182931591,2690.6,1252.470877312685,0.0,0.0,0,0.0,2.2144147110676613,0
R000009,A,1,S001,1252.470877312685,1.2439335256573965,2690.6,1252.470877312685,0.0,0.0,0,0.0,2.2144147110676613,0
R000010,A,1,S001,1252.470877312685,1.1815093765129427,2690.6,1252.470877312685,0.0,0.0,0,0.0,2.2144147110676613,0
R000011,A,1,S001,1312.470877312685,1.2108193760785582,2630.6,1312.470877312685,0.0,0.0,0,0.0,2.2144147110676613,0
R000012,A,1,S001,1312.470877312685,1.22307515767693,2630.6,1312.470877312685,0.0,0.0,0,0.0,2.2144147110676613,0
R000013,A,1,S001,1312.470877312685,1.2680232749127218,2630.6,1312.470877312685,0.0,0.0,0,0.0,2.2144147110676613,0
R000014,A,1,S002,1947.7309474720896,2.784760777273276,,1112.525473736045,835.2054737360448,0.4288094692031446,1,835.2054737360448,-5.48219992618948,1
R000015,A,1,S002,1947.7309474720896,2.8041769787962227,,1112.525473736045,835.2054737360448,0.4288094692031446,1,835.2054737360448,-5.48219992618948,1
R000016,A,1,S002,2007.7309474720896,2.9120729211892558,,1142.525473736045,865.2054737360448,0.4309369613619867,1,865.2054737360448,-5.48219992618948,1
R000017,A,1,S002,1947.7309474720896,2.8804520955606967,2374.2,1112.525473736045,835.2054737360448,0.4288094692031446,1,835.2054737360448,-5.48219992618948,1
R000018,A,1,S002,2007.7309474720896,3.0281685265506377,2314.2,1142.525473736045,865.2054737360448,0.4309369613619867,1,865.2054737360448,-5.48219992618948,1
R000019,A,1,S002,1947.7309474720896,2.761693616757608,2374.2,1112.525473736045,835.2054737360448,0.4288094692031446,1,835.2054737360448,-5.48219992618948,1
R000020,A,1,S002,2007.7309474720896,2.8150165943872065,2314.2,1142.525473736045,865.2054737360448,0.4309369613619867,1,865.2054737360448,-5.48219992618948,1
R000021,A,1,S002,2007.7309474720896,2.8389272848085563,2314.2,1142.525473736045,865.2054737360448,0.4309369613619867,1,865.2054737360448,-5.48219992618948,1
R000022,A,1,S002,2007.7309474720896,2.9291301949638244,2314.2,1142.525473736045,865.2054737360448,0.4309369613619867,1,865.2054737360448,-5.48219992618948,1
R000023,A,1,S003,2202.276992828245,2.8294830790518493,,1303.431829747456,898.8451630807893,0.4081435559686155,1,898.8451630807893,-5.288334514260441,1
R000024,A,1,S003,2202.276992828245,2.850390451600208,,1303.431829747456,898.8451630807893,0.4081435559686155,1,898.8451630807893,-5.288334514260441,1
R000025,A,1,S003,2262.276992828245,2.963542785453088,,1333.431829747456,928.8451630807892,0.4105797680944317,1,928.8451630807892,-5.288334514260441,1
R000026,A,1,S003,2202.276992828245,2.9307167339043163,5850.9,1303.431829747456,898.8451630807893,0.4081435559686155,1,898.8451630807893,-5.288334514260441,1
R000027,A,1,S003,2262.276992828245,3.0827565924461284,5790.9,1333.431829747456,928.8451630807892,0.4105797680944317,1,928.8451630807892,-5.288334514260441,1
R000028,A,1,S003,2202.276992828245,2.804037247751029,5850.9,1303.431829747456,898.8451630807893,0.4081435559686155,1,898.8451630807893,-5.288334514260441,1
R000029,A,1,S003,2262.276992828245,2.8619491421678784,5790.9,1333.431829747456,928.8451630807892,0.4105797680944317,1,928.8451630807892,-5.288334514260441,1
R000030,A,1,S003,2262.276992828245,2.887245701141598,5790.9,1333.431829747456,928.8451630807892,0.4105797680944317,1,928.8451630807892,-5.288334514260441,1
R000031,A,1,S003,2262.276992828245,2.981173459179203,5790.9,1333.431829747456,928.8451630807892,0.4105797680944317,1,928.8451630807892,-5.288334514260441,1
R000032,A,1,S004,2123.959400972985,2.9448489638471385,,1383.866367153159,740.0930338198259,0.3484497083516708,1,740.0930338198259,-5.839925593266557,1
R000033,A,1,S004,2123.959400972985,2.9656942536784365,,1383.866367153159,740.0930338198259,0.3484497083516708,1,740.0930338198259,-5.839925593266557,1
R000034,A,1,S004,2123.959400972985,3.047009147807469,5886.4,1383.866367153159,740.0930338198259,0.3484497083516708,1,740.0930338198259,-5.839925593266557,1
R000035,A,1,S004,2183.959400972985,3.203366220355213,5826.4,1413.866367153159,770.0930338198259,0.3526132552998643,1,770.0930338198259,-5.839925593266557,1
R000036,A,1,S004,2123.959400972985,2.919891024803157,5886.4,1383.866367153159,740.0930338198259,0.3484497083516708,1,740.0930338198259,-5.839925593266557,1
R000037,A,1,S004,2183.959400972985,2.977295648239486,5826.4,1413.866367153159,770.0930338198259,0.3526132552998643,1,770.0930338198259,-5.839925593266557,1
R000038,A,1,S004,2183.959400972985,3.002823048333129,5826.4,1413.866367153159,770.0930338198259,0.3526132552998643,1,770.0930338198259,-5.839925593266557,1
R000039,A,1,S004,2183.959400972985,3.0986471482564,5826.4,1413.866367153159,770.0930338198259,0.3526132552998643,1,770.0930338198259,-5.839925593266557,1
R000040,A,1,S005,1635.7581046684645,2.023678708754835,,1247.555719000899,388.2023856675656,0.2373226117967158,1,388.2023856675656,-2.547971547580076,1
R000041,A,1,S005,1635.7581046684645,2.038049977348116,,1247.555719000899,388.2023856675656,0.2373226117967158,1,388.2023856675656,-2.547971547580076,1
R000042,A,1,S005,1635.7581046684645,2.094018302339303,9729.4,1247.555719000899,388.2023856675656,0.2373226117967158,1,388.2023856675656,-2.547971547580076,1
R000043,A,1,S005,1695.7581046684645,2.2014564651560837,9669.4,1277.555719000899,418.2023856675656,0.2466167695240518,1,418.2023856675656,-2.547971547580076,1
R000044,A,1,S005,1635.7581046684645,2.006441090948309,9729.4,1247.555719000899,388.2023856675656,0.2373226117967158,1,388.2023856675656,-2.547971547580076,1
R000045,A,1,S005,1695.7581046684645,2.046042483154676,9669.4,1277.555719000899,418.2023856675656,0.2466167695240518,1,418.2023856675656,-2.547971547580076,1
R000046,A,1,S005,1695.7581046684645,2.0636187252482485,9669.4,1277.555719000899,418.2023856675656,0.2466167695240518,1,418.2023856675656,-2.547971547580076,1
R000047,A,1,S005,1695.7581046684645,2.129518815506648,9669.4,1277.555719000899,418.2023856675656,0.2466167695240518,1,418.2023856675656,-2.547971547580076,1
