sortie_id,pattern_id,gap_id,candidate_id,relay_uav_id,relay_session_id,energy_component_id,dispatch_time_s,arrival_time_s,service_start_s,service_end_s,return_time_s,uav_release_time_s,energy_release_time_s,relay_energy_kWh,end_soc,coverage_start_offset_s,coverage_end_offset_s,relay_uav_occupancy_s,energy_component_occupancy_s,dispatch_offset_s,relay_session_energy_kWh
P002874-1,P002874,PG002234,RP082327,R01,R01-RS006,E01,367,721.8355022428693,752.646,1172.835,1385,1685,1814.4414687500002,0.2181281119023439,0.9318346875,752.646,1172.835,1316.4948779395147,1445.934598247254,367.8104977571307,0.218129
P001179-1,P001179,PG000886,RP019707,R01,R01-RS001,E03,1685,2408.004917107419,2438.176,3560.692,4146,4446,6392.0066875,0.6633479062240428,0.499225625,765.176,1887.692,2760.573508775384,3230.058595678902,12.171082892581468,1.602478
P008233-1,P008233,PG004556,RP019707,R01,R01-RS001,E03,1685,2408.004917107419,2438.2,3477.759,4063,4363,6392.0066875,0.6379999340018205,0.499225625,745.2,1784.759,2677.616508775384,3136.803981963624,-7.804917107418532,1.602478
P008204-1,P008204,PG004539,RP019707,R01,R01-RS001,E03,1775,2498.004917107419,2528.494,3567.129,4153,4453,6392.0066875,0.6377176006684872,0.499225625,740.494,1779.129,2676.692508775384,3135.765284046957,-12.51091710741855,1.602478
P008547-1,P008547,PG004680,RP019707,R01,R01-RS001,E03,2997,3720.004917107419,3750.216,4655.5380000000005,5241,5541,6392.0066875,0.5969830728907094,0.499225625,928.216,1833.538,2543.379508775384,2985.903882137234,175.21108289258143,1.602478
P002753-1,P002753,PG002131,RP065617,R01,R01-RS003,E06,5541,5882.787167028183,5913.701,6711.529,6904,7204,8284.8919375,0.3304148540891687,0.790083125,734.701,1532.529,1661.8782795926618,1996.1093140663863,362.9138329718169,0.671734
P008500-1,P008500,PG004643,RP065617,R01,R01-RS003,E06,5860,6201.787167028183,6232.642,7319.686,7512,7812,8284.8919375,0.4187864096447243,0.790083125,943.642,2030.686,1951.0942795926617,2321.226258510831,571.8548329718169,0.671734
P002863-1,P002863,PG002223,RP075602,R01,R01-RS005,E01,7812,8042.625107261465,8073.176,8571.056,8637,8937,8992.71571875,0.1806809493435042,0.9435371875,675.176,1173.056,1124.3814019110328,1180.0970209310572,414.55089273853474,0.180681
P008594-1,P008594,PG004720,RP074044,R01,R01-RS004,E02,8937,9243.390718663431,9273.484,9881.222,10036,10336,10531.21740625,0.2515399293587688,0.9213940625,869.484,1477.222,1398.8505744118222,1594.0698103368984,533.0932813365694,0.251539
P008402-1,P008402,PG004579,RP019707,R01,R01-RS002,E04,10336,11059.00491710742,11089.502,12041.695,12627,12927,13375.34265625,0.6113047673351538,0.8089671875,812.502,1764.695,2590.250508775384,3038.59307050529,59.497082892581375,0.611305
P016895-1,P016895,PG005650,RP077710,R02,R02-RS003,E02,418,955.6378030114448,985.699,1734.52,2109,2409,2782.22459375,0.4263999035745168,0.8667503125,985.699,1734.52,1990.2870901334045,2363.512050960552,418.061196988555,0.426399
P050623-1,P050623,PG006584,RP058988,R02,R02-RS002,E04,2409,2848.3703448127926,2878.709,4054.155,4352,4652,5055.70390625,0.5014253571401056,0.8433046875,953.709,2129.155,2242.568096791113,2646.2721481292806,484.33865518720745,0.501425
P051203-1,P051203,PG006643,RP016472,R02,R02-RS001,E05,5215,5922.780548846247,5952.832,6811.192,7376,7676,8110.53178125,0.577309563861374,0.8195909375,1414.832,2273.192,2460.787571589793,2895.3195819084763,677.0514511537525,0.577309
